Accident_Index,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Local_Authority_(District),Road_Type,Speed_limit,Junction_Detail,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident
201143N077061,43,1,5,1,7,477,3,70,0,1,1,1,0,0,2,1
2009130735809,13,1,2,1,5,202,6,50,0,1,1,1,0,0,2,1
200697LB70507,97,1,1,1,2,913,6,60,0,1,1,1,0,0,2,1
200897UA70101,97,1,1,1,4,931,6,30,0,4,1,2,0,0,1,1
2005215337583,21,1,1,1,7,255,6,60,3,6,8,4,0,0,2,1
2006520008320,52,1,3,2,7,608,6,40,3,6,1,1,0,0,1,1
20114100D0277,41,1,1,1,4,431,6,40,0,6,1,1,0,0,2,1
2007330706336,33,1,2,3,1,364,6,30,3,4,1,1,0,0,1,1
20141316C1381,13,1,1,1,5,200,6,40,9,1,1,1,0,0,2,1
201206B057779,6,1,1,1,6,102,6,20,0,1,1,1,0,0,1,1
200630A000484,30,1,2,2,3,320,6,30,0,1,1,1,0,0,2,1
20114100C0244,41,1,1,1,1,436,3,70,0,4,1,1,0,0,2,1
200814C155708,14,1,1,3,5,213,6,30,0,4,1,2,0,0,1,1
2013100687313,10,1,1,2,2,148,6,30,3,1,1,1,0,0,1,1
201214K068812,14,1,2,4,3,215,3,40,6,5,1,1,0,0,1,1
200614A236006,14,1,2,1,5,211,6,40,0,4,1,1,0,0,1,1
2008460158503,46,1,2,1,6,535,3,50,0,4,1,1,4,0,2,1
201201TD00098,1,1,2,1,6,21,6,30,3,1,1,1,0,0,1,1
200714C020407,14,1,1,2,4,213,6,30,3,1,1,2,0,0,1,1
2012160A04881,16,1,2,1,7,233,6,60,0,1,1,2,0,0,2,1
200614C192506,14,1,2,2,4,213,6,60,0,4,1,2,0,0,2,1
2006460122421,46,1,4,1,4,531,6,60,0,6,1,2,0,0,2,1
2008350392208,35,1,2,2,1,392,6,60,0,1,1,2,0,0,2,1
2010160D03851,16,1,2,1,6,228,1,40,1,1,1,2,0,0,1,1
20103104C1668,31,1,1,1,6,346,6,30,6,1,1,1,0,0,1,1
2011070277217,7,1,1,1,5,130,3,70,0,1,1,1,0,0,2,1
201214A044112,14,1,2,1,4,211,3,70,0,1,1,1,0,0,2,1
201401TD00036,1,1,3,1,6,7,6,30,3,4,1,2,0,0,1,1
201101TD00200,1,1,2,1,6,25,3,50,0,4,1,1,0,0,1,1
200606X055230,6,1,1,1,1,110,3,70,0,4,2,2,0,0,1,1
201243P324062,43,1,1,1,7,485,6,50,0,1,9,1,0,0,2,1
201005EE03967,5,1,1,1,7,91,3,40,3,1,1,1,0,0,1,1
2014350218414,35,1,2,1,3,391,6,60,0,1,1,2,0,0,2,1
200942I057102,42,1,2,1,2,463,6,60,0,1,8,1,0,0,2,1
200620M070802,20,1,2,1,6,302,3,60,0,4,2,2,0,0,1,1
2007460148844,46,1,3,2,1,535,6,30,3,1,1,1,0,0,2,1
201106Q044759,6,1,1,1,3,104,3,40,6,1,1,1,0,0,1,1
200543P139045,43,1,3,1,6,484,6,60,0,1,1,1,0,0,2,1
2014100724414,10,1,2,2,4,139,6,60,0,1,1,1,0,0,2,1
20094100B9332,41,1,1,1,3,438,6,40,0,4,1,2,0,0,2,1
200943N040049,43,1,1,1,5,480,3,70,0,4,1,1,0,0,1,1
201243P323052,43,1,2,2,2,484,6,40,0,6,1,1,0,0,2,1
200930C000141,30,1,2,1,1,327,3,60,0,1,1,1,0,0,2,1
201163DP26111,63,1,2,2,4,753,6,60,3,1,1,1,0,0,2,1
201014K348310,14,1,1,1,4,215,6,30,3,4,1,1,0,0,1,1
201422C401702,22,1,1,1,3,270,3,60,6,4,1,1,0,0,1,1
201301TD00147,1,1,1,1,5,11,6,30,3,1,1,1,0,0,1,1
2005360031208,36,1,2,4,2,406,6,60,0,6,1,1,0,0,2,1
2013232558713,23,1,1,1,1,291,3,50,3,4,1,1,0,0,2,1
200543N046025,43,1,2,2,4,476,6,60,6,6,1,2,0,0,2,1
201401TD00132,1,1,2,1,6,30,3,50,0,4,1,1,0,0,1,1
201443P263124,43,1,1,1,7,483,6,60,0,1,4,2,0,0,2,1
201463DP15914,63,1,4,1,1,753,6,60,0,1,1,1,0,0,2,1
201050GC2M012,50,1,3,1,6,596,6,60,0,6,2,2,0,0,2,1
2013621301223,62,1,2,1,1,745,6,30,6,4,1,1,0,0,1,1
2013100195213,10,1,2,3,4,139,6,60,0,1,5,2,0,0,2,1
200922G905193,22,1,2,1,1,286,6,60,0,1,1,1,0,0,2,1
2011170S31731,17,1,1,1,7,245,6,30,0,1,1,1,0,0,1,1
200642I448811,42,1,4,1,6,456,6,60,0,6,1,1,0,0,2,1
2009983109509,98,1,1,5,7,917,6,60,0,6,1,1,1,0,1,1
2013530208158,53,1,1,1,1,620,6,30,0,4,1,1,0,0,1,1
2010550D17353,55,1,1,2,7,647,6,60,0,6,1,2,0,0,2,1
2006470610843,47,1,2,2,3,555,6,60,0,6,2,2,0,0,2,1
2006950000977,95,1,2,3,6,940,6,40,0,6,1,2,0,0,1,1
2008950001446,95,1,1,2,7,940,6,50,0,6,1,1,0,0,2,1
200597GC70107,97,1,1,1,1,922,6,60,0,1,1,1,0,0,2,1
2012530206982,53,1,2,1,1,621,6,30,0,1,1,1,0,0,2,1
2007330702240,33,1,1,1,2,362,3,40,0,1,1,1,0,0,1,1
200906J025052,6,1,1,1,4,109,6,30,3,4,1,1,0,0,2,2
201032D137210,32,1,1,1,4,353,6,60,0,1,9,-1,0,0,2,1
2013460225535,46,1,2,1,7,536,6,60,0,6,1,2,0,0,2,1
200745SP02648,45,1,2,1,3,40,6,30,0,4,1,1,0,0,1,1
2010521009151,52,1,1,1,1,612,6,30,0,6,4,2,0,0,1,1
200597EA70112,97,1,1,1,6,926,3,30,0,1,1,2,0,0,1,1
2013213006546,21,1,1,1,7,255,3,40,0,4,1,2,0,0,1,1
2009100062709,10,1,2,1,7,146,6,30,0,4,1,1,0,0,1,1
201230D002189,30,1,1,1,2,323,6,30,0,4,1,1,0,0,1,1
